city_name,state,region,median_income,median_rent,median_home_price,population,latitude,longitude,rent_burden,home_price_to_income_ratio,years_to_twenty_percent_down_payment
Seattle,WA,West,110000,2100,850000,750000,47.61,-122.33,0.23,7.73,15.45
San Francisco,CA,West,125000,2800,1200000,815000,37.77,-122.42,0.27,9.60,19.20
Los Angeles,CA,West,85000,1900,780000,3900000,34.05,-118.24,0.27,9.18,18.36
San Diego,CA,West,90000,2100,820000,1400000,32.72,-117.16,0.28,9.11,18.22
San Jose,CA,West,135000,2600,1250000,1000000,37.34,-121.89,0.23,9.26,18.52
Portland,OR,West,90000,1800,600000,650000,45.52,-122.68,0.24,6.67,13.33
Phoenix,AZ,West,75000,1500,420000,1650000,33.45,-112.07,0.24,5.60,11.20
Denver,CO,West,88000,1700,620000,715000,39.74,-104.99,0.23,7.05,14.10
Sacramento,CA,West,82000,1700,520000,525000,38.58,-121.49,0.25,6.34,12.68
Oakland,CA,West,105000,2300,950000,430000,37.80,-122.27,0.26,9.05,18.10
Chicago,IL,Midwest,78000,1600,350000,2700000,41.88,-87.63,0.25,4.49,8.97
Minneapolis,MN,Midwest,82000,1500,360000,430000,44.98,-93.27,0.22,4.39,8.78
St Paul,MN,Midwest,78000,1450,340000,310000,44.95,-93.09,0.22,4.36,8.72
Madison,WI,Midwest,85000,1600,420000,270000,43.07,-89.40,0.23,4.94,9.88
Milwaukee,WI,Midwest,65000,1300,260000,590000,43.04,-87.91,0.24,4.00,8.00
Detroit,MI,Midwest,60000,1200,240000,670000,42.33,-83.05,0.24,4.00,8.00
Columbus,OH,Midwest,75000,1450,320000,900000,39.96,-82.99,0.23,4.27,8.53
Cleveland,OH,Midwest,62000,1250,230000,380000,41.50,-81.69,0.24,3.71,7.42
Houston,TX,South,70000,1400,330000,2300000,29.76,-95.37,0.24,4.71,9.42
Dallas,TX,South,72000,1500,350000,1300000,32.78,-96.80,0.25,4.86,9.72
Austin,TX,South,90000,1900,550000,1000000,30.27,-97.74,0.25,6.11,12.22
San Antonio,TX,South,65000,1350,290000,1500000,29.42,-98.49,0.25,4.46,8.92
Atlanta,GA,South,78000,1600,400000,500000,33.75,-84.39,0.25,5.13,10.26
Miami,FL,South,65000,1800,520000,470000,25.76,-80.19,0.33,8.00,16.00
Orlando,FL,South,70000,1600,380000,310000,28.54,-81.38,0.27,5.43,10.86
Nashville,TN,South,75000,1650,450000,700000,36.16,-86.78,0.26,6.00,12.00
New York,NY,Northeast,90000,2300,900000,8400000,40.71,-74.01,0.31,10.00,20.00
Boston,MA,Northeast,95000,2400,850000,690000,42.36,-71.06,0.30,8.95,17.89
Cambridge,MA,Northeast,115000,2600,950000,120000,42.37,-71.11,0.27,8.26,16.52
Somerville,MA,Northeast,105000,2400,820000,81000,42.39,-71.10,0.27,7.81,15.62
Philadelphia,PA,Northeast,70000,1500,320000,1600000,39.95,-75.16,0.26,4.57,9.14
Pittsburgh,PA,Northeast,72000,1450,300000,300000,40.44,-79.99,0.24,4.17,8.33
Newark,NJ,Northeast,68000,1700,380000,280000,40.73,-74.17,0.30,5.59,11.18
Jersey City,NJ,Northeast,100000,2400,750000,290000,40.72,-74.07,0.29,7.50,15.00
